ID,name,weight,achievement,BonusTranche_ID
f276f6d4-42a2-4e48-bbc6-dc3dfc96bbfb,Sales Target,60.0,75.5,1e1d82b4-7ff9-4c7d-8c87-2bcf40ff6f7b
a7a2f9c4-3ff3-45be-a929-bb405b8cfd6e,Customer Satisfaction,40.0,90.0,1e1d82b4-7ff9-4c7d-8c87-2bcf40ff6f7b
c5a9b356-9bf3-41c9-a48e-637a2fa12e7b,Revenue Growth,70.0,85.0,2e9fabc1-74e5-4f2d-99d1-12de5d5d752d
d37dcd6f-5b9e-41c8-a7cb-15f1b637b89b,Operational Efficiency,30.0,88.5,2e9fabc1-74e5-4f2d-99d1-12de5d5d752d
e28b1d22-d0e9-4b68-9211-e07f53af1b88,Employee Engagement,50.0,77.5,3d88aa91-5615-4fb2-86a1-09c896b5c59e
f31f7fd9-72f7-4de8-9476-b93758f5d6fc,Product Innovation,50.0,92.0,3d88aa91-5615-4fb2-86a1-09c896b5c59e
g47d2c43-ec4a-4fa5-bb1d-ec946fdf5e75,Market Expansion,65.0,80.0,4d76f9d4-7bc5-4e7c-8035-44d545f1bb4a
h5a9c8d6-712e-4a88-b25a-42d5b639cc92,Cost Reduction,35.0,85.0,4d76f9d4-7bc5-4e7c-8035-44d545f1bb4a
i86f6df7-5ad9-4f3b-9782-3a9d9671e913,Risk Management,50.0,79.0,5a8cf944-7598-450e-b985-1cf8bc2e4d54
j63edfc6-7a3e-4d6b-b993-2c8f5a612f77,Customer Retention,50.0,87.0,5a8cf944-7598-450e-b985-1cf8bc2e4d54
k24c9f67-4f8a-44f9-bd4e-7a2d2d5c8d91,Partnership Growth,40.0,83.0,6e2d00c6-1a9a-4a17-8eac-4e0542cc8a5e
l18e9f37-7ebf-4951-8f22-4fca5c9e12a5,Employee Training,60.0,91.0,6e2d00c6-1a9a-4a17-8eac-4e0542cc8a5e
m7d36f54-65b9-4927-84f9-9dc5f7b4e3d8,Technology Upgrade,70.0,86.0,7f4e8adf-4d4a-4e7f-9c1a-fdfb44deef5f
n4b2d437-6bf1-40d7-a5e7-fb70d9c474db,Brand Awareness,30.0,93.0,7f4e8adf-4d4a-4e7f-9c1a-fdfb44deef5f